link_id,length_miles,num_lanes,spdLimInMph,in_node_id,in_node_lat,in_node_lon,out_node_id,out_node_lat,out_node_lon
1,1.1125,5,-1,1,0,0,3,0,0
2,0.5,1,-1,2,0,0,3,0,0
3,1.1125,5,-1,3,0,0,5,0,0
4,0.5,1,-1,4,0,0,5,0,0
5,1.1125,5,-1,5,0,0,6,0,0
6,0.5,1,-1,6,0,0,7,0,0
7,1.1125,5,-1,6,0,0,8,0,0
8,0.5,1,-1,8,0,0,9,0,0
9,1.1125,5,-1,8,0,0,10,0,0
