node_id,out_link_ids,in_link_ids
1,{1},{-1}
2,{2},{-1}
3,{3},{1;2}
4,{4;5},{3}
5,{-1},{4}
6,{6},{-1}
7,{7},{5;6}
8,{8},{-1}
9,{9},{7;8}
10,{-1},{9}
