navteq_sensor_id,agency_sensor_id,hwy_link_id,offset_mi,navteq_link_id,navteq_cell_id,num_lanes_monitored,num_lanes_physical
400468,70001,1,0,1,0,4,4
402955,70001,2,0,2,0,1,1
402953,70001,4,0,4,0,1,1
400739,70001,5,0.2,5,0,4,4
402954,70001,6,0,6,0,1,1
400363,70001,7,0.1,7,0,4,4
402950,70001,8,0,8,0,1,1
400698,70001,9,0,9,0,4,4
