linkID,vmax_mean,dmax_mean,dc_mean,vmax_var,dmax_var,dc_var
1,60,170,35,100,900,100
2,60,170,35,100,900,100
3,60,170,35,100,900,100
4,60,170,35,100,900,100
5,60,170,35,100,900,100
6,50,150,25,100,900,100
7,50,150,25,100,900,100
8,50,150,25,100,900,100
9,50,150,25,100,900,100
