linkID,vmax_mean,dmax_mean,dc_mean,vmax_var,dmax_var,dc_var
1,60,170,30,25,400,25
2,60,170,30,25,400,25
3,60,170,30,25,400,25
4,60,170,30,25,400,25
5,60,170,30,25,400,25
6,60,170,30,25,400,25
7,60,170,30,25,400,25
8,60,170,30,25,400,25
9,60,170,30,25,400,25
