linkID,vmax_mean,dmax_mean,dc_mean,vmax_var,dmax_var,dc_var
1,65,150,30,0,0,0
2,65,150,30,0,0,0
3,65,150,30,0,0,0
4,65,150,30,0,0,0
5,65,150,30,0,0,0
6,55,130,20,0,0,0
7,55,130,20,0,0,0
8,55,130,20,0,0,0
9,55,130,20,0,0,0
