linkID,vmax_mean,dmax_mean,dc_mean,vmax_var,dmax_var,dc_var
1,70.27,188.13,42.69,0,0,0
2,60.53,72.4,20.81,0,0,0
3,70.27,188.13,42.69,0,0,0
4,67.04,86.27,28.64,0,0,0
5,70.49,224.25,40,0,0,0
6,62.32,42.1,16.85,0,0,0
7,76.8,161.69,36.82,0,0,0
8,59.87,89.66,19.04,0,0,0
9,71.4,101.46,20.59,0,0,0
