linkID,vmax_mean,dmax_mean,dc_mean,vmax_var,dmax_var,dc_var
1,60,170,30,0,0,0
2,60,170,30,0,0,0
3,60,170,30,0,0,0
4,60,170,30,0,0,0
5,60,170,30,0,0,0
6,60,170,30,0,0,0
7,60,170,30,0,0,0
8,60,170,30,0,0,0
9,60,170,30,0,0,0
